time,open,high,low,close,volume,bid,ask
2020-07-17 00:00:00,1798.282,1811.75,1795.73,1809.765,62092.0,1809.765,1809.765
2020-07-19 00:00:00,1808.109,1810.619,1807.808,1808.998,6085.0,1808.998,1808.998
2020-07-20 00:00:00,1808.969,1820.348,1805.658,1817.921,69566.0,1817.921,1817.921
2020-07-21 00:00:00,1817.913,1847.042,1815.563,1842.981,84559.0,1842.981,1842.981
2020-07-22 00:00:00,1842.947,1874.261,1842.306,1869.876,113312.0,1869.876,1869.876
2020-07-23 00:00:00,1869.872,1898.19,1863.526,1885.395,110417.0,1885.395,1885.395
2020-07-24 00:00:00,1885.396,1906.4,1880.996,1901.143,88411.0,1901.143,1901.143
2020-07-26 00:00:00,1902.646,1914.58,1902.646,1913.493,14659.0,1913.493,1913.493
2020-07-27 00:00:00,1913.495,1966.211,1912.295,1964.98,118781.0,1964.98,1964.98
2020-07-28 00:00:00,1964.873,1980.652,1906.579,1956.072,145260.0,1956.072,1956.072
2020-07-29 00:00:00,1956.072,1980.601,1941.314,1966.483,112992.0,1966.483,1966.483
2020-07-30 00:00:00,1966.487,1970.332,1938.975,1956.91,117775.0,1956.91,1956.91
2020-07-31 00:00:00,1956.926,1982.318,1955.863,1974.958,114787.0,1974.958,1974.958
2020-08-02 00:00:00,1982.988,1984.734,1977.002,1981.738,15349.0,1981.738,1981.738
2020-08-03 00:00:00,1981.698,1982.133,1960.418,1975.265,90063.0,1975.265,1975.265
2020-08-04 00:00:00,1975.174,2030.712,1967.369,2030.712,101940.0,2030.712,2030.712
2020-08-05 00:00:00,2030.64,2055.403,2009.131,2036.29,128525.0,2036.29,2036.29
2020-08-06 00:00:00,2036.338,2073.682,2034.336,2069.007,124983.0,2069.007,2069.007
2020-08-07 00:00:00,2069.1,2071.992,2015.465,2034.818,153841.0,2034.818,2034.818
2020-08-09 00:00:00,2026.671,2030.778,2018.676,2027.12,15167.0,2027.12,2027.12
2020-08-10 00:00:00,2027.119,2049.797,2019.265,2028.128,121431.0,2028.128,2028.128
2020-08-11 00:00:00,2028.129,2028.129,1901.422,1909.025,213203.0,1909.025,1909.025
2020-08-12 00:00:00,1908.997,1949.171,1863.593,1921.874,214392.0,1921.874,1921.874
2020-08-13 00:00:00,1921.844,1966.192,1919.895,1957.332,157498.0,1957.332,1957.332
2020-08-14 00:00:00,1957.304,1961.402,1931.973,1944.376,134341.0,1944.376,1944.376
2020-08-16 00:00:00,1944.835,1951.221,1931.853,1932.534,12717.0,1932.534,1932.534
2020-08-17 00:00:00,1932.533,1990.594,1929.205,1983.634,125342.0,1983.634,1983.634
2020-08-18 00:00:00,1983.647,2015.39,1975.958,2005.186,141901.0,2005.186,2005.186
2020-08-19 00:00:00,2005.155,2005.869,1924.638,1927.748,171161.0,1927.748,1927.748
2020-08-20 00:00:00,1927.717,1955.078,1924.085,1952.707,160309.0,1952.707,1952.707
2020-08-21 00:00:00,1952.789,1955.744,1911.464,1940.113,141278.0,1940.113,1940.113
2020-08-23 00:00:00,1936.426,1938.261,1929.819,1935.019,11194.0,1935.019,1935.019
2020-08-24 00:00:00,1935.006,1961.712,1923.666,1929.749,117271.0,1929.749,1929.749
2020-08-25 00:00:00,1929.699,1937.326,1914.211,1929.596,115242.0,1929.596,1929.596
2020-08-26 00:00:00,1929.564,1954.68,1902.613,1953.415,121151.0,1953.415,1953.415
2020-08-27 00:00:00,1953.414,1976.439,1909.707,1928.053,147853.0,1928.053,1928.053
2020-08-28 00:00:00,1927.921,1973.742,1922.773,1964.591,110684.0,1964.591,1964.591
2020-08-30 00:00:00,1968.915,1975.843,1968.82,1973.073,12297.0,1973.073,1973.073
2020-08-31 00:00:00,1973.011,1976.279,1954.269,1967.705,106288.0,1967.705,1967.705
2020-09-01 00:00:00,1967.778,1992.297,1962.63,1972.465,134390.0,1972.465,1972.465
2020-09-02 00:00:00,1972.496,1973.171,1932.408,1944.68,142873.0,1944.68,1944.68
2020-09-03 00:00:00,1944.693,1950.736,1921.824,1927.772,146372.0,1927.772,1927.772
2020-09-04 00:00:00,1927.73,1948.158,1916.114,1933.518,142551.0,1933.518,1933.518
2020-09-06 00:00:00,1932.511,1937.574,1932.506,1934.348,8747.0,1934.348,1934.348
2020-09-07 00:00:00,1934.349,1941.118,1924.114,1930.578,69072.0,1930.578,1930.578
2020-09-08 00:00:00,1930.577,1940.722,1906.368,1930.233,136362.0,1930.233,1930.233
2020-09-09 00:00:00,1930.198,1950.741,1919.879,1947.264,105787.0,1947.264,1947.264
2020-09-10 00:00:00,1947.368,1966.486,1941.211,1943.839,96009.0,1943.839,1943.839
2020-09-11 00:00:00,1943.722,1954.698,1936.791,1939.938,75392.0,1939.938,1939.938
