trade_id,instrument,fold,entry_time_utc,entry_time_ny,exit_time_utc,exit_time_ny,day_of_week,holding_hours,direction,entry_price,sl_price,tp_price,close_price,sl_pips,rr_ratio,trade_result,r_gained,pnl,setup_quality,confluence_score,ttps_htf,ttps_entry,ttps_session,ttps_risk,ttps_total,primary_fvg_tf,primary_fvg_bottom,primary_fvg_top,swept_level,risk_amount,risk_multiplier,week_number,block_reason,bias_trend_score,bias_swing_score,bias_zone_score,bias_po3_score,bias_bull_total,bias_bear_total,bias_conviction
full-0033,XAUUSDm,full,2022-05-26 07:00:00,2022-05-26 03:00:00,2022-06-10 12:00:00,2022-06-10 08:00:00,Thursday,365.0,BULLISH,1846.85,1828.38,1939.18,1828.38,18.5,5.00,LOSS,-1.00,-1000.00,A,10,5,4,2,3,14,H4,1832.35,1839.90,1845.54,1000.00,1.0,2022-W21,Signal confirmed,2/1,3/2,2/0,0/0,7,3,HIGH
full-0034,XAUUSDm,full,2022-06-01 07:00:00,2022-06-01 03:00:00,2022-06-13 22:00:00,2022-06-13 18:00:00,Wednesday,303.0,BULLISH,1833.61,1815.27,1925.29,1815.27,18.3,5.00,LOSS,-1.00,-1000.00,B,8,5,2,2,3,12,H4,1832.35,1839.90,,1000.00,1.0,2022-W22,Signal confirmed,2/0,2/3,2/0,0/0,6,3,MEDIUM
full-0035,XAUUSDm,full,2022-06-02 07:00:00,2022-06-02 03:00:00,2022-06-10 12:00:00,2022-06-10 08:00:00,Thursday,197.0,BULLISH,1851.91,1833.39,1944.53,1833.39,18.5,5.00,LOSS,-1.00,-1000.00,B,8,5,4,2,4,15,H4,1837.12,1844.69,1851.57,1000.00,1.0,2022-W22,Signal confirmed,2/1,2/3,2/0,0/0,6,4,MEDIUM
full-0036,XAUUSDm,full,2022-06-07 12:00:00,2022-06-07 08:00:00,2022-06-10 12:00:00,2022-06-10 08:00:00,Tuesday,72.0,BULLISH,1847.24,1828.77,1919.76,1828.77,18.5,3.93,LOSS,-1.00,-1000.00,A,10,5,4,1,3,13,H4,1837.12,1844.69,1846.65,1000.00,1.0,2022-W23,Signal confirmed,0/0,3/3,2/0,0/0,5,3,MEDIUM
full-0037,XAUUSDm,full,2022-06-09 07:00:00,2022-06-09 03:00:00,2022-06-10 12:00:00,2022-06-10 08:00:00,Thursday,29.0,BULLISH,1850.51,1832.00,1919.76,1832.00,18.5,3.74,LOSS,-1.00,-1000.00,A,10,5,4,2,3,14,H4,1837.12,1844.69,1850.28,1000.00,1.0,2022-W23,Signal confirmed,1/0,3/3,2/0,0/0,6,3,MEDIUM
full-0038,XAUUSDm,full,2022-06-16 07:00:00,2022-06-16 03:00:00,2022-06-29 09:00:00,2022-06-29 05:00:00,Thursday,314.0,BULLISH,1830.15,1811.85,1878.83,1811.85,18.3,2.66,LOSS,-1.00,-1000.00,B,8,5,3,2,3,13,H1,1821.99,1830.52,1829.77,1000.00,1.0,2022-W24,Signal confirmed,1/0,2/3,2/0,1/0,6,2,MEDIUM
full-0039,XAUUSDm,full,2022-06-23 07:00:00,2022-06-23 03:00:00,2022-07-01 11:00:00,2022-07-01 07:00:00,Thursday,196.0,BEARISH,1835.44,1853.79,1786.38,1786.38,18.4,2.67,WIN,2.67,2670.00,A,9,5,4,2,2,13,H4,1833.54,1852.67,1835.42,1000.00,1.0,2022-W25,Signal confirmed,0/2,1/3,2/0,0/0,3,5,MEDIUM
full-0040,XAUUSDm,full,2022-06-23 12:00:00,2022-06-23 08:00:00,2022-07-01 11:00:00,2022-07-01 07:00:00,Thursday,191.0,BEARISH,1829.33,1847.62,1786.38,1786.38,18.3,2.35,WIN,2.35,2350.00,B,8,5,4,1,2,12,H4,1833.54,1852.67,1829.66,1000.00,0.5,2022-W25,Signal confirmed,0/3,1/3,2/0,0/0,3,6,MEDIUM
full-0041,XAUUSDm,full,2022-06-23 13:00:00,2022-06-23 09:00:00,2022-07-01 11:00:00,2022-07-01 07:00:00,Thursday,190.0,BEARISH,1833.95,1852.29,1786.38,1786.38,18.3,2.59,WIN,2.59,2590.00,A,9,5,4,3,2,14,H4,1833.54,1852.67,1833.99,1000.00,0.5,2022-W25,Signal confirmed,0/3,1/3,2/0,0/0,3,6,MEDIUM
full-0042,XAUUSDm,full,2022-06-28 07:00:00,2022-06-28 03:00:00,2022-06-30 11:00:00,2022-06-30 07:00:00,Tuesday,52.0,BULLISH,1827.03,1808.76,1878.83,1808.76,18.3,2.84,LOSS,-1.00,-1000.00,A,10,5,3,2,2,12,H1,1821.99,1830.52,1827.03,1000.00,1.0,2022-W26,Signal confirmed,3/0,2/3,2/0,0/0,7,3,HIGH
